,id,Counts,text,category,author,book/prompt,model,nation,gender,race,mean_sen_len,sentiment,male_pronouns,female_pronouns,TTR,lex_density,concreteness,its,during,between,how,see,be,isn't,off,must,but,couldn't,ours,a,about,all,any,i,our,here,aren't,and,ourselves,itself,on,under,one,you'll,too,this,after,then,should,that'll,me,why,your,until,won't,further,you,needn't,mightn't,they,don't,each,same,had,just,wouldn't,my,into,that,are,you've,than,do,as,the,them,there,does,some,themselves,weren't,you'd,through,below,in,don,wasn't,an,were,for,has,very,before,or,what,hadn't,doesn't,shan't,having,no,not,well,will,over,which,yourselves,once,am,above,of,other,it's,is,have,much,out,would,by,again,hasn't,myself,down,could,theirs,from,while,with,who,against,doing,you're,mustn't,it,shouldn't,haven't,most,whom,can,at,been,those,being,when,where,their,was,never,nor,these,did,we,such,because,up,few,more,made,yours,should've,go,to,yourself,only,so,might,own,now,if,upon,didn't,both,say,said,ask,asked,reply ,replied,NN,NNS,NNP,NNPS,VB,VBD,VBG,VBN,VBP,VBZ,JJ,JJR,JJS,RB,RBR,RBS,PRP,PRP$,IN,DT
0,95643,9,"""Now, young Johnny Fairfield weren't no saint, but he weren't no devil neither. Just a boy, as common as cornbread and every bit as ordinary as mud on a rainy day. Yet, there was a twinkle in his eye that suggested he might climb mountains some day, not those rocky peaks that laze far yonder under the western sun, but rather the peaks of trouble, as inviting in their own rugged way to a misspent youth like his. He had that unbridled, playful hunger, simmering low in the pit of his boyish heart ""much like that of a lazy cat eyeing an oblivious mouse's not quite ready to pounce"", but not quite able to look away either. And so, he skipped along the banks of the Mississippi, his trusty old dog Pockets nipping at his worn, tattered boots, both as carefree and reckless as the wind messing up the river's surface.""",synthetic,twain,Write a paragraph from an original novel in the style of Mark Twain.,gpt4,British/Irish,male,white,30.8,-0.783869088,0.06122449,0,0.7006802721088435,0.56462585,2.5376296296296297,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0.034013605,0,0,0,0,0,0,0,0.020408163,0,0,0.006802721,0.006802721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006802721,0.006802721,0,0,0,0.027210884,0,0,0,0,0.047619048,0.047619048,0,0.006802721,0,0.006802721,0,0,0,0,0,0.020408163,0,0,0.006802721,0,0,0,0,0,0,0,0,0,0,0,0.013605442,0.020408163,0,0,0,0,0,0,0,0,0.027210884,0,0,0,0,0.006802721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006802721,0,0.006802721,0,0,0,0.006802721,0.006802721,0,0,0,0,0,0,0,0.006802721,0,0,0,0,0,0,0.020408163,0,0,0.006802721,0.006802721,0.006802721,0.006802721,0,0,0,0.006802721,0,0,0,0,0,0,0.1632653061224489,0.047619048,0,0,0.027210884,0.040816327,0.034013605,0.006802721,0.006802721,0,0.1224489795918367,0.006802721,0,0.1088435374149659,0,0,0.027210884,0.040816327,0.1292517006802721,0.1292517006802721
1,91007,8,"It was a truth universally acknowledged among the residents of Hartfield, that Mrs. Elmwood, with her collection of delicate porcelain figurines and endless stream of afternoon tea invitations, held an insatiable appetite for gossip. Yet, even so, when she had heard the whispering rumours that Mr. Charles Standish, a gentleman of considerable means, yet known to be of a solitary disposition, had taken a sudden and uncharacteristic interest in Miss Ada Fairfield, the village Headmaster's precocious niece, she could hardly believe the ludicrousness of it. Miss Fairfield, after all, might possess a lively spirit and a witty mind, but she was by no means a conventional beauty, and lacked the substantial inheritance which so often went hand-in-hand with matrimonial prospects. However, Mrs. Elmwood, leaning over her tea set with an eager gleam in her eyes, found the prospect, however unlikely, to be an intoxicating brew indeed.",synthetic,austen,Act like Jane Austen and write an original paragraph utilizing her style.,gpt4,British/Irish,male,white,36.5,0.9705917835235596,0,0.042553191,0.7021276595744681,0.6028368794326241,2.26224,0,0,0,0,0,0.014184397,0,0,0,0.007092199,0,0,0.04964539,0,0.007092199,0,0,0,0,0,0.028368794,0,0,0,0,0,0,0,0,0.007092199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014184397,0,0,0,0,0.014184397,0,0,0,0,0,0.042553191,0,0,0,0,0,0,0,0,0,0.014184397,0,0,0.021276596,0,0.007092199,0,0,0,0,0,0,0,0,0,0.007092199,0,0,0,0.007092199,0.007092199,0,0,0,0,0.042553191,0,0,0,0,0,0,0,0.007092199,0,0,0,0,0.007092199,0,0,0,0.021276596,0,0,0,0,0,0.014184397,0,0,0,0,0,0,0,0,0,0.007092199,0,0,0.014184397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014184397,0,0,0.014184397,0.007092199,0,0,0,0,0,0,0,0,0,0,0,0,0.1985815602836879,0.04964539,0,0,0.035460993,0.070921986,0.007092199,0.021276596,0.007092199,0.014184397,0.1205673758865248,0,0,0.078014184,0,0,0.035460993,0.021276596,0.1276595744680851,0.1276595744680851
2,95447,8,"Now, I tell you what, folks don't seem to realize the innate wisdom that resides in a river. A river, with its undulating ebbs and flows, holds stories of the past while feeding the future. It's like an old man, you see. It's been there much longer than any of us and seen more than any eye could hold; it's got currents that'll sweep you clean off your feet and depths that hide worlds unseen. It might look plain and simple, but that's where you're mistaken, my friend. Much like the most significant lessons in life, a river's wisdom runs quiet and deep. But don't just take my word, go sit by its banks, and if you listen carefully, it may just tell you a tale or two.",synthetic,twain,Write an original paragraph in the style of Mark Twain.,gpt4,British/Irish,male,white,19.571428571428573,0.975249708,0,0,0.703125,0.515625,2.4552586206896554,0.015625,0,0,0,0.0078125,0,0,0.0078125,0,0.015625,0,0,0.03125,0,0,0.015625,0.0078125,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0.046875,0,0,0,0,0,0,0,0.015625,0,0.015625,0,0.03125,0,0,0.015625,0.015625,0,0.03125,0,0.0078125,0,0,0,0,0,0,0,0.015625,0,0,0.0078125,0,0,0,0,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0.015625,0,0,0.0078125,0,0,0,0,0.0078125,0,0,0.0078125,0.0078125,0,0,0,0,0,0.0390625,0,0,0.0078125,0,0,0,0.0078125,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0.0078125,0.0078125,0,0,0,0.0078125,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0.140625,0.0625,0,0,0.0625,0.0078125,0.0078125,0.015625,0.046875,0.0390625,0.0546875,0.015625,0,0.0546875,0,0.0078125,0.09375,0.0390625,0.1328125,0.0859375
3,93607,8,"As a day dawning upon the challenging landscape of an embattled society, the subject of racial unity was taken up by Reverend Ellison, a leader seen as gilded in wisdom as an oak is in autumn. He viewed it as the key to unlocking a future of prosperity and dignity for our race, his ruminations bringing an enriched consciousness to every meeting in our hapless community. Our situation, he always said, is as a brittle vase hurtled from the topmost shelf; we must either catch it in unity or it falls to utter ruins, its pieces scattered nigh and yonder. It was a formidable feat, we knew, yet those assembled nodded their heads, eager to rise to his challenge. We dared not let hope escape us in this critical hour, like escaping wraiths into the moonlit night.",synthetic,griggs,Write an original paragraph in the style of Sutton Griggs.,gpt4,British/Irish,male,white,27.4,-0.967609942,0.02919708,0,0.7299270072992701,0.5474452554744526,2.4746721311475413,0.00729927,0,0,0,0,0,0,0,0.00729927,0,0,0,0.03649635,0,0,0,0,0.02189781,0,0,0.01459854,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0.03649635,0.03649635,0,0,0,0,0,0,0,0,0,0.03649635,0,0,0.02189781,0,0.00729927,0,0,0,0.00729927,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0.02189781,0,0,0.01459854,0,0,0,0,0.00729927,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0.02919708,0,0,0,0,0,0,0,0.00729927,0,0,0,0.00729927,0.01459854,0,0,0,0,0.02189781,0,0,0.00729927,0,0,0,0,0,0,0.03649635,0,0,0,0,0,0,0,0.00729927,0,0,0,0.00729927,0,0,0,0,0.218978102,0.02919708,0,0,0.04379562,0.051094891,0.02919708,0.051094891,0.00729927,0.02919708,0.058394161,0,0,0.02919708,0,0,0.072992701,0.051094891,0.1386861313868613,0.1167883211678832
4,95775,8,"On a glorious, molasses-thick, mid-afternoon in Missouri, our young hero, Billy Jemson, a professional urchin if ever there was one, took to lope along the shoredream of tripping Mississippi. The moment was so perennial, so dappled in sunlight and childlike delight, it was as if the Turning Hand of Time itself had nodded off at the wheel. Billyâ€™s pockets bulged, packed all snug and jingling with a multitude of treasures; baby-toothed animal jawbones fished from the backwoods, a tarnished pocket clock that ticked backwards, and a pewter spoon, borrowed indefinitely from Miss Susan's tea set. More precious than gold to that spry, elvish urchin, these oddities were his trappings of adventure, mysteries of the universe captured in his pantaloons, and yet, for all their worth, they couldnâ€™t fill that rumbling void that persistently echoed in the chasm of that boyâ€™s belly.",synthetic,twain,Write a paragraph from an original novel in the style of Mark Twain.,gpt4,British/Irish,male,white,35.5,-0.368706942,0.014814815,0,0.7481481481481481,0.562962963,2.490619469026549,0,0,0,0,0,0,0,0.007407407,0,0,0,0,0.037037037,0,0.014814815,0,0,0.007407407,0,0,0.02962963,0,0.007407407,0.007407407,0,0.007407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007407407,0,0,0,0.007407407,0,0,0,0,0.037037037,0,0,0.007407407,0,0.007407407,0.051851852,0,0.007407407,0,0,0,0,0,0,0,0.02962963,0,0,0,0.007407407,0.007407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014814815,0,0.007407407,0,0,0,0,0,0.007407407,0,0,0,0,0,0.007407407,0,0,0,0,0,0.007407407,0.022222222,0,0,0.007407407,0,0,0,0,0,0,0.007407407,0,0,0,0,0.014814815,0,0,0.014814815,0,0,0,0.014814815,0,0,0,0,0,0,0,0,0,0.1703703703703703,0.066666667,0,0,0.007407407,0.074074074,0.022222222,0.044444444,0.007407407,0.014814815,0.088888889,0,0,0.059259259,0.007407407,0,0.022222222,0.02962963,0.1703703703703703,0.1259259259259259
5,95484,7,"Ah, I mind the time when that meandering river we call the Mississippi was a world unto itself. Young boys with curiosity as wide as itâ€™s currents and mischief glinting in their eyes would hitch onto rafts, dipping toes into that muddy water, as they allowed the ole current to coax them forth into uncharted territories â€“ or at least, as uncharted as a reliable old river could allow. Worldly truths were traded b'tween the crackle of a fire and the distant hoot of an owl, and we checked our troubles as easily as we would a coat at the door. The river brought us no fancy learning or grave predictions of tomorrow, but it sure did offer a sense of freedom - a certain wildness that only gets learned when lifeâ€™s classroom is as wide as the open sky.",synthetic,twain,Write an original paragraph in the style of Mark Twain.,gpt4,British/Irish,male,white,35,0.930044413,0,0,0.7185185185185186,0.5703703703703704,2.445126050420168,0,0,0,0,0,0,0,0,0,0.007407407,0,0,0.044444444,0,0,0,0.007407407,0.007407407,0,0,0.022222222,0,0.007407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007407407,0,0,0,0,0,0,0,0.014814815,0.022222222,0,0,0,0,0.066666667,0.059259259,0.007407407,0,0,0,0,0,0,0,0,0.007407407,0,0,0.007407407,0.007407407,0,0,0,0,0.014814815,0,0,0,0,0,0.007407407,0,0,0,0,0,0,0,0,0,0.02962963,0,0,0.007407407,0,0,0,0.014814815,0,0,0,0,0,0.007407407,0,0,0,0.007407407,0,0,0,0,0,0.007407407,0,0,0,0,0,0.014814815,0,0,0,0.014814815,0,0.007407407,0.007407407,0,0,0,0.007407407,0.022222222,0,0,0,0,0,0,0,0,0,0.007407407,0,0.007407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1851851851851851,0.066666667,0,0,0.02962963,0.044444444,0.014814815,0.014814815,0.014814815,0.014814815,0.1111111111111111,0,0.007407407,0.066666667,0,0,0.059259259,0.014814815,0.1407407407407407,0.1259259259259259
6,95874,7,"The churning river of Time rushes us on, no matter our feeble protests, no matter the attempts to yank on the reins, to command it to a halt. But, sir, Timeâ€™s a beast that bows to no master, pays heed to no manâ€™s whimsies. It hauls us, willy-nilly, through days filled with sunlight, moonlight, starlight, and, at times, no light at all. Yet, within us all there abides a spirit, stout and unyielding, that grasps the hour and can learn to ride it, to ply it to its purpose. True, 'twould be foolhardy, somewhat like trying to steer the mighty Mississippi with a table spoon; but a man, my friend, has but his audacity to keep him from sinking into Timeâ€™s treacherous depths, rendering his journey not just more interesting, but thrice more meaningful, too.",synthetic,twain,Act like Mark Twain and write an original paragraph utilizing his style.,gpt4,British/Irish,male,white,27,0.9668921232223512,0.023076923,0,0.7,0.5153846153846153,2.5,0.007692308,0,0,0,0,0.007692308,0,0,0,0.030769231,0,0,0.038461538,0,0.015384615,0,0,0.007692308,0,0,0.023076923,0,0,0.015384615,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0,0.007692308,0.007692308,0.015384615,0,0,0,0,0,0.038461538,0,0.007692308,0,0,0,0,0,0.007692308,0,0,0,0,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0.038461538,0.007692308,0,0,0,0,0,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0,0.015384615,0,0,0,0,0,0.030769231,0,0,0,0,0.007692308,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1692307692307692,0.061538462,0,0,0.061538462,0.007692308,0.030769231,0.015384615,0,0.053846154,0.061538462,0,0,0.038461538,0.015384615,0,0.061538462,0.038461538,0.092307692,0.1307692307692307
7,95513,7,"Now, ainâ€™t it charmful, the way memories flicker and flutter like old leaves on a windy autumn eve? Theyâ€™re half transparent, whispering tales of yore, painted over brightly with the dreams of imprudent youth. Boy, back in my day, we wasnâ€™t so attached to these newfangled chores and duties. All we cared for was the dancing river, sparkling under the sun like a belly-laugher covered in gold dust. We used to float along on our makeshift rafts, straddling the mighty Mississippi as though we done owned the world. Troubleâ€™d seem as far-off as next winter and weâ€™d spend our days hooking catfish and telling tales thatâ€™d make your grandmaâ€™s hair curl. We were freer than sparrows in springtime, and didnâ€™t know nothin' of growin' up and the troubles it'd bring. Ah, sweet innocence, ya flit away faster than a hill jackrabbit with a fox on its tail.",synthetic,twain,Write an original paragraph in the style of Mark Twain.,gpt4,British/Irish,male,white,18.5,-0.832330287,0,0,0.7591240875912408,0.5985401459854015,2.712966101694916,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0.02919708,0,0.00729927,0,0,0.01459854,0,0,0.04379562,0,0,0.02189781,0.00729927,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0.01459854,0,0.02189781,0.051094891,0,0,0,0,0,0,0,0,0,0.02189781,0,0,0,0.00729927,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0.02189781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01459854,0,0,0,0,0,0.01459854,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0.00729927,0,0.03649635,0,0,0.00729927,0,0,0,0,0,0,0.01459854,0,0,0.00729927,0,0,0.00729927,0,0,0,0,0,0,0,0,0,0,0.1897810218978102,0.072992701,0,0,0.02919708,0.051094891,0.04379562,0.02919708,0.02189781,0.00729927,0.080291971,0.00729927,0,0.058394161,0.00729927,0,0.051094891,0.03649635,0.1532846715328467,0.094890511
8,95770,7,"As the coral sun set over the endless Mississippi, young Billy Cobb gave his homemade fishing rod an impatient jerk. He was the kind of urchin you'd find skulking about riverbanks at all ungodly hours, stewing in the sort of innocent mischief that'd make saintly mothers shake their heads. His face was sun-kissed, splashed with freckles as if someone tossed a handful of sand at him. Grinning, Billy would tell you it's the dust from all those adventures; those tall tales that would charm the socks off you and make your wisdom teeth itch. But on this sultry summerâ€™s evening, with the river sighing below him, the wild-haired rascal wrestled not with his usual array of river creatures or mythical events, but a quiet sort of dread. You see, tomorrow was the dawn of Billyâ€™s twelfth year, and in his little river town, such a chronological advancement meant you were expected to abandon the merriment of boyhood for the toils of more serious endeavors. As the stick bobbed and weaved, Billy sat, stewed, and silently rebelled, declaring to all the fish in the deep, â€œAin't no folks gonna tell me when to stop playin'.â€",synthetic,twain,Write a paragraph from an original novel in the style of Mark Twain.,gpt4,British/Irish,male,white,28.428571428571427,-0.910497785,0.037037037,0,0.6984126984126984,0.5555555555555556,2.6220481927710844,0,0,0,0,0.005291005,0,0,0.005291005,0,0.010582011,0,0,0.015873016,0.005291005,0.015873016,0,0,0,0,0,0.021164021,0,0,0.005291005,0,0,0,0,0.005291005,0,0,0,0,0.005291005,0,0.005291005,0,0,0,0.026455026,0,0,0,0,0,0,0,0,0,0,0,0.010582011,0,0,0,0,0.015873016,0.074074074,0,0,0,0,0,0,0,0,0.005291005,0.015873016,0,0,0.005291005,0.005291005,0.005291005,0,0,0,0.005291005,0,0,0,0,0,0.005291005,0.005291005,0,0,0.005291005,0,0,0,0,0,0.042328042,0,0,0,0,0,0,0.010582011,0,0,0,0,0,0,0,0.005291005,0,0.015873016,0,0,0,0,0,0.005291005,0,0,0,0,0,0.010582011,0,0.010582011,0,0.005291005,0,0.005291005,0.015873016,0,0,0,0,0,0.005291005,0,0,0,0.005291005,0,0,0,0,0.015873016,0,0,0,0,0,0,0.005291005,0,0,0,0,0,0,0,0,0,0.1798941798941798,0.074074074,0,0,0.031746032,0.047619048,0.031746032,0.021164021,0.031746032,0,0.1058201058201058,0,0,0.026455026,0.005291005,0,0.052910053,0.031746032,0.1428571428571428,0.1216931216931216
9,95988,7,"Now, I reckon you've done your fair share of life living, churning through days like a waterwheel on the Mississippi, constant and certain in an uncertain world. Y'know, it's peculiar the way the world spins, fast and relentless, always moving regardless of our ficklesome human whims or fancies. Some folks truly believe they can lasso the moon, crying out their dreams into the midnight ether, not accounting for the stark reality that the moon, like all bright and far-off things, is not so easily corralled. But ain't it a beautiful folly? The effort, the belief, the gumption of it all. As long as one's heart is tethered to hope, one is bound to remain rich in spirit, no matter the lightness of one's pockets.",synthetic,twain,Act like Mark Twain and write an original paragraph utilizing his style.,gpt4,British/Irish,male,white,21.5,0.9765461683273317,0,0,0.7540983606557377,0.5737704918032787,2.4427927927927926,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0.016393443,0,0.016393443,0,0.008196721,0.008196721,0,0,0.024590164,0,0,0.008196721,0,0.024590164,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0.008196721,0,0,0.008196721,0,0,0,0,0,0,0,0.008196721,0.008196721,0,0,0,0,0.016393443,0.090163934,0,0,0,0.008196721,0,0,0,0.008196721,0,0.016393443,0,0,0.008196721,0,0.008196721,0,0,0,0.008196721,0,0,0,0,0,0.008196721,0.016393443,0,0,0,0,0,0,0,0,0.032786885,0,0,0.024590164,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024590164,0,0,0,0,0.008196721,0,0,0,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0.008196721,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0.1639344262295081,0.057377049,0,0,0.024590164,0,0.032786885,0.032786885,0.024590164,0.049180328,0.090163934,0,0,0.098360656,0,0,0.040983607,0.024590164,0.1147540983606557,0.1475409836065573
