Feature,authentic,gpt3.5,gpt4
mean_sen_len,30.56799843,27.571859971245686,29.82814526122026
sentiment,-0.119881877,0.8132440750608368,0.8176710773905118
male_pronouns,0.029620111,0.015208860589223723,0.012746177165377131
female_pronouns,0.019975039,0.020887405081488845,0.021049292
TTR,0.6835863622760358,0.6929394978341148,0.70169186
lex_density,0.549048967,0.5561004487231671,0.5804846323395579
concreteness,2.5058224741156536,2.5040960257547336,2.4747825457347745
its,0.001122159,0.002986384,0.00553073
during,0.000176902,3.641604300039005e-05,4.2461600119330164e-05
between,0.000462278,0.000546957,0.000626326
how,0.001371602,0.000209572,0.000195912
see,0.001639239,0.000244756,0.000113206
be,0.006162738,0.002203499,0.001126264
isn't,0,0,0
off,0.000831494,0.000195288,0.000179644
must,0.001291448,0.000392185,0.00012158
but,0.006428384,0.002398984,0.003346369
couldn't,0,0,0
ours,2.898888824435338e-05,2.3000978946833044e-05,3.1736337735745284e-05
a,0.023007977338077974,0.037912258,0.033416598572745454
about,0.001829209,0.000668218,0.000551188
all,0.00461884,0.001494076,0.001193126
any,0.001920225,0.000223433,0.000368276
i,0.018168379,0.002659859,0.000835324
our,0.000985592,0.00133376,0.001827641
here,0.001223459,0.000588375,0.000350469
aren't,0,0,0
and,0.036385818,0.030469681,0.024582038
ourselves,6.397076694871e-05,8.279069045733317e-05,3.0153498500884815e-05
itself,0.000184866,0.000492442,0.00077123
on,0.006045453,0.004540456,0.003220422
under,0.000585315,0.000475284,0.001556089
one,0.003338379,0.00105201,0.001294723
you'll,0,0,0
too,0.001177048,0.000223187,0.000369641
this,0.004145928,0.002004199,0.002687615
after,0.00129315,0.000154826,0.000119172
then,0.001964908,0.00010135,0.000109357
should,0.001394147,3.054594176501068e-05,5.568463370775457e-05
that'll,0,0,0
me,0.004865359,0.00085119,0.00018769
why,0.000480768,6.971351626995504e-05,2.5285747381173635e-05
your,0.002135871,0.000236445,0.000100618
until,0.000331635,6.548573820611515e-05,3.149601330265828e-05
won't,0,0,0
further,0.000151323,2.4297064546445033e-05,3.1709719354435364e-05
you,0.010099942713002213,0.000848226,0.000422259
needn't,0,0,0
mightn't,0,0,0
they,0.003819062,0.001356506,0.001010154
don't,0,0,0
each,0.000442582,0.001280223,0.002179919
same,0.000625642,4.8945650736555346e-05,0.0001728
had,0.008427225,0.002408071,0.00209716
just,0.000812016,0.000780174,0.000637263
wouldn't,0,0,0
my,0.005370589,0.001628572,0.000826433
into,0.001971807,0.001639466,0.002732548
that,0.012583286905525804,0.014187576035607146,0.009175077
are,0.002340175,0.000510345,0.000239492
you've,0,0,0
than,0.001718223,0.000759101,0.001133345
do,0.003053946,0.000156827,0.000100401
as,0.009332251,0.009679646,0.010523411
the,0.049543510354380066,0.091252663,0.085125794
them,0.002419757,0.001094093,0.00053534
there,0.003178398,0.002581948,0.001785306
does,0.000379601,2.357850552547554e-05,7.44192068213166e-05
some,0.001970775,0.000296741,0.000333179
themselves,0.000240667,0.000226121,0.000224123
weren't,0,0,0
you'd,0,0,0
through,0.000830072,0.004196805,0.002571837
below,0.000119356,0.000393328,0.000139833
in,0.016734810893932205,0.024754085916509322,0.021353702283248555
don,2.1336680637074022e-05,0,5.282386745407483e-06
wasn't,0,0,0
an,0.002919979,0.00181577,0.008699819
were,0.003720646,0.001878005,0.001671494
for,0.008549753,0.005518191,0.004168088
has,0.00134828,0.000134741,0.00010135
very,0.002589369,0.000920898,0.000672665
before,0.001537948,0.000491773,0.00039616
or,0.003284801,0.000559974,0.000762135
what,0.002750331,0.000358404,0.000245921
hadn't,0,0,0
doesn't,0,0,0
shan't,0,0,0
having,0.000595747,2.078681137111403e-05,6.073448317651945e-05
no,0.003286044,0.00070561,0.000825088
not,0.007043642,0.00153816,0.002598216
well,0.001317954,0.000746473,0.000229574
will,0.002160109,0.000232157,0.000175889
over,0.001365722,0.002055638,0.00141567
which,0.003958876,0.000202943,0.000754796
yourselves,1.4746078165898332e-05,0,9.861932938856e-07
once,0.000752014,0.000376687,0.000571341
am,0.001373642,0.000133194,1.8121167741586783e-05
above,0.000216185,0.000325352,0.000266808
of,0.026795924,0.057908726,0.064462943
other,0.001303049,0.000269798,0.000171481
it's,0,0,0
is,0.005808599,0.00127762,0.000708477
have,0.005482992,0.000413356,0.000224905
much,0.00162109,0.00032587,0.000722084
